datetime,San Diego
2012-10-01,291.5734950272727
2012-10-02,295.291471525
2012-10-03,297.87874999999997
2012-10-04,296.08083333333326
2012-10-05,293.894375
2012-10-06,292.8147916666666
2012-10-07,292.38208333333336
2012-10-08,293.69166666666666
2012-10-09,293.3520833333334
2012-10-10,292.77083333333337
2012-10-11,292.73895833333324
2012-10-12,290.2879166666667
2012-10-13,290.3129166666666
2012-10-14,290.4129166666667
2012-10-15,292.9145833333333
2012-10-16,295.64333333333343
2012-10-17,293.74499999999995
2012-10-18,296.3929166666666
2012-10-19,296.69916666666666
2012-10-20,293.00875
2012-10-21,292.4060416666667
2012-10-22,291.1360416666667
2012-10-23,291.0820833333334
2012-10-24,289.81333333333333
2012-10-25,289.3064583333333
2012-10-26,289.5308333333333
2012-10-27,292.7141666666667
2012-10-28,294.30208333333337
2012-10-29,292.92333333333335
2012-10-30,291.7879166666666
2012-10-31,289.8616666666667
2012-11-01,289.5991666666667
2012-11-02,290.15625
2012-11-03,289.8854166666667
2012-11-04,288.8879166666666
2012-11-05,291.77270833333336
2012-11-06,299.25916666666666
2012-11-07,291.7454166666667
2012-11-08,289.67625
2012-11-09,289.7383333333334
2012-11-10,288.6445833333334
2012-11-11,286.6766666666666
2012-11-12,286.3297916666667
2012-11-13,285.6170833333333
2012-11-14,287.75833333333327
2012-11-15,288.46000000000004
2012-11-16,290.28416666666664
2012-11-17,290.90583333333336
2012-11-18,290.0004166666667
2012-11-19,289.84208333333333
2012-11-20,287.79375
2012-11-21,287.68541666666664
2012-11-22,287.0391666666667
2012-11-23,287.2779166666666
2012-11-24,287.5391666666667
2012-11-25,288.59541666666667
2012-11-26,287.4172916666666
2012-11-27,287.72125
2012-11-28,286.56874999999997
2012-11-29,288.4820833333334
2012-11-30,288.96791666666655
2012-12-01,290.07
2012-12-02,290.11083333333323
2012-12-03,290.0058333333332
2012-12-04,289.08854166666674
2012-12-05,289.75083333333333
2012-12-06,288.75083333333333
2012-12-07,288.17795833333327
2012-12-08,288.12833333333333
2012-12-09,288.76812499999994
2012-12-10,286.56458333333336
2012-12-11,286.77833333333336
2012-12-12,286.95979166666666
2012-12-13,286.35083333333336
2012-12-14,287.0970833333334
2012-12-15,285.24166666666673
2012-12-16,284.20750000000004
2012-12-17,285.02000000000004
2012-12-18,286.94624999999996
2012-12-19,286.84375
2012-12-20,283.15062500000005
2012-12-21,283.7660416666667
2012-12-22,283.0783333333333
2012-12-23,283.294375
2012-12-24,283.90458333333333
2012-12-25,285.04249999999996
2012-12-26,284.99541666666664
2012-12-27,284.61541666666665
2012-12-28,284.56354166666665
2012-12-29,283.12958333333336
2012-12-30,283.4563541666666
2012-12-31,282.41437499999995
2013-01-01,280.98166666666674
2013-01-02,282.58250000000004
2013-01-03,284.3045833333333
2013-01-04,283.4074999999999
2013-01-05,283.20911458333336
2013-01-06,283.08333333333337
2013-01-07,283.0129166666666
2013-01-08,283.86330555416663
2013-01-09,284.0797916666666
2013-01-10,283.2513631958333
2013-01-11,285.23278472083337
2013-01-12,282.8354166666667
2013-01-13,280.7755833333333
2013-01-14,280.5863541666667
2013-01-15,280.4612500000001
2013-01-16,280.65479166666665
2013-01-17,283.39266666666657
2013-01-18,286.00583333333327
2013-01-19,288.07958333333335
2013-01-20,288.6358333333333
2013-01-21,288.4865208333333
2013-01-22,289.15416666666664
2013-01-23,290.1033333333333
2013-01-24,290.99645833333335
2013-01-25,290.2308333333333
2013-01-26,288.79033333333336
2013-01-27,287.5016041666666
2013-01-28,285.7244861125001
2013-01-29,279.6422986125
2013-01-30,281.9161875
2013-01-31,284.09333333333336
2013-02-01,286.04875
2013-02-02,287.7941666666667
2013-02-03,288.551875
2013-02-04,289.8495833333334
2013-02-05,286.1310416666666
2013-02-06,285.0533333333334
2013-02-07,285.84020833333324
2013-02-08,284.50000000000006
2013-02-09,284.54624999999993
2013-02-10,282.3706250000001
2013-02-11,282.47999999999996
2013-02-12,282.82474999999994
2013-02-13,283.2799236125
2013-02-14,283.4150000000001
2013-02-15,284.6941666666666
2013-02-16,288.67520833333333
2013-02-17,291.2929166666667
2013-02-18,286.89208333333335
2013-02-19,285.39479166666666
2013-02-20,284.32430555416664
2013-02-21,283.0841736125
2013-02-22,282.5466666666667
2013-02-23,282.76333333333326
2013-02-24,283.98375000000004
2013-02-25,284.98848611249997
2013-02-26,284.81366666666673
2013-02-27,284.1608333333333
2013-02-28,286.6147145833333
2013-03-01,287.79625000000004
2013-03-02,290.9352083333333
2013-03-03,292.7260416666667
2013-03-04,289.4897916666667
2013-03-05,287.16895833333336
2013-03-06,286.0329624999999
2013-03-07,285.465625
2013-03-08,285.1525208333333
2013-03-09,284.42
2013-03-10,283.69497916666666
2013-03-11,284.7803125
2013-03-12,287.07972916666665
2013-03-13,287.0767083333333
2013-03-14,288.88528472083334
2013-03-15,288.56775
2013-03-16,287.7985416666667
2013-03-17,286.40177083333333
2013-03-18,286.65672916666665
2013-03-19,287.0368333333334
2013-03-20,287.892
2013-03-21,288.28999999999996
2013-03-22,287.58958333333334
2013-03-23,287.97083333333336
2013-03-24,286.85374999999993
2013-03-25,287.2379166666667
2013-03-26,288.10374999999993
2013-03-27,288.2406041666667
2013-03-28,287.70374999999996
2013-03-29,288.0508333333334
2013-03-30,288.675
2013-03-31,289.1066666666667
2013-04-01,288.3504583333333
2013-04-02,288.2966666666667
2013-04-03,287.9966666666666
2013-04-04,287.75083333333333
2013-04-05,288.46770833333335
2013-04-06,289.0783333333333
2013-04-07,288.8787499999999
2013-04-08,288.7433333333334
