datetime,Phoenix
2012-10-01,296.7017392636363
2012-10-02,301.21196770833336
2012-10-03,302.86708333333337
2012-10-04,302.2329166666667
2012-10-05,301.81125
2012-10-06,299.8104166666667
2012-10-07,299.2483333333334
2012-10-08,299.53208333333333
2012-10-09,299.025625
2012-10-10,299.2135416666667
2012-10-11,299.7752083333334
2012-10-12,298.9866666666667
2012-10-13,295.37166666666667
2012-10-14,292.2979166666667
2012-10-15,295.50458333333336
2012-10-16,299.6025
2012-10-17,297.9558333333334
2012-10-18,297.7895833333334
2012-10-19,297.77833333333325
2012-10-20,297.63041666666663
2012-10-21,297.07395833333334
2012-10-22,298.19125
2012-10-23,296.0425
2012-10-24,295.2304166666667
2012-10-25,294.9745833333333
2012-10-26,293.01
2012-10-27,294.9091666666667
2012-10-28,294.58875
2012-10-29,294.9170833333333
2012-10-30,294.9808333333334
2012-10-31,294.87125000000003
2012-11-01,294.27
2012-11-02,294.22583333333336
2012-11-03,294.46999999999997
2012-11-04,294.06250000000006
2012-11-05,294.70187500000003
2012-11-06,297.74708333333325
2012-11-07,295.41541666666666
2012-11-08,294.7737500000001
2012-11-09,294.0158333333332
2012-11-10,293.47791666666666
2012-11-11,288.09791666666666
2012-11-12,285.1716666666667
2012-11-13,285.6770833333333
2012-11-14,287.95041666666674
2012-11-15,289.8704166666667
2012-11-16,291.87145833333324
2012-11-17,292.8170833333334
2012-11-18,289.9760416666667
2012-11-19,290.89416666666665
2012-11-20,290.5670833333333
2012-11-21,291.34666666666664
2012-11-22,292.16833333333335
2012-11-23,290.18625
2012-11-24,290.61666666666673
2012-11-25,294.07291666666663
2012-11-26,291.7322916666667
2012-11-27,290.1933333333333
2012-11-28,290.23375000000004
2012-11-29,291.8458333333333
2012-11-30,291.0520833333333
2012-12-01,289.7316666666666
2012-12-02,288.75479166666673
2012-12-03,289.1025
2012-12-04,289.42541666666665
2012-12-05,289.454375
2012-12-06,290.8704166666667
2012-12-07,289.1585416666667
2012-12-08,288.62583333333333
2012-12-09,289.2439583333333
2012-12-10,286.0041666666668
2012-12-11,286.1233333333334
2012-12-12,282.89000000000004
2012-12-13,283.99958333333336
2012-12-14,285.85375
2012-12-15,285.71708333333333
2012-12-16,283.3495833333333
2012-12-17,281.9666666666667
2012-12-18,282.2054166666666
2012-12-19,282.78458333333333
2012-12-20,283.3706875
2012-12-21,281.17062500000003
2012-12-22,284.77916666666664
2012-12-23,286.22875
2012-12-24,283.56125
2012-12-25,283.3616666666666
2012-12-26,283.4658333333333
2012-12-27,281.40250000000003
2012-12-28,280.4710416666667
2012-12-29,279.82916666666665
2012-12-30,281.1557291666667
2012-12-31,281.68916666666667
2013-01-01,280.4679166666667
2013-01-02,278.7075
2013-01-03,281.2245833333334
2013-01-04,283.23583333333335
2013-01-05,281.32015625
2013-01-06,281.06166666666667
2013-01-07,282.28624999999994
2013-01-08,282.40962499999995
2013-01-09,282.70229166666667
2013-01-10,281.40313749999996
2013-01-11,283.8555
2013-01-12,281.23229166666664
2013-01-13,276.65008333333327
2013-01-14,275.71229166666666
2013-01-15,274.73125
2013-01-16,275.61125
2013-01-17,278.90562499999993
2013-01-18,283.8591666666667
2013-01-19,287.695
2013-01-20,286.5994375
2013-01-21,287.2477708333333
2013-01-22,288.44562499999995
2013-01-23,289.60520833333334
2013-01-24,289.4891666666667
2013-01-25,289.4847916666666
2013-01-26,287.8839791666667
2013-01-27,287.38682986249995
2013-01-28,287.4107708333334
2013-01-29,277.7667291666666
2013-01-30,279.99806249999995
2013-01-31,282.27035416666666
2013-02-01,284.1166666666666
2013-02-02,285.97437500000007
2013-02-03,286.2349791666667
2013-02-04,288.18958333333336
2013-02-05,288.72270833333334
2013-02-06,287.688875
2013-02-07,287.5783333333333
2013-02-08,287.3772916666666
2013-02-09,286.86229166666675
2013-02-10,283.5770833333333
2013-02-11,282.15254166666665
2013-02-12,281.37044444583336
2013-02-13,280.4222916666667
2013-02-14,281.71958333333333
2013-02-15,283.59875
2013-02-16,287.6770833333333
2013-02-17,289.7062499999999
2013-02-18,288.04541666666665
2013-02-19,287.41624999999993
2013-02-20,287.0325694458333
2013-02-21,283.8350763875
2013-02-22,279.18291666666664
2013-02-23,282.13000000000005
2013-02-24,283.02708333333334
2013-02-25,284.3451180541667
2013-02-26,282.80833333333334
2013-02-27,282.96606249999996
2013-02-28,285.2248020833333
2013-03-01,286.0229166666667
2013-03-02,287.66333333333336
2013-03-03,290.83729166666654
2013-03-04,290.36229166666664
2013-03-05,290.2833333333333
2013-03-06,290.12519166666664
2013-03-07,290.61593750000003
2013-03-08,290.44491666666664
2013-03-09,288.19597916666663
2013-03-10,281.2789652791667
2013-03-11,284.42904166666665
2013-03-12,287.48009722083333
2013-03-13,289.72964583333334
2013-03-14,293.52872916666666
2013-03-15,296.1066944458333
2013-03-16,295.6504375
2013-03-17,294.48116666666664
2013-03-18,293.69762499999996
2013-03-19,293.2400208333333
2013-03-20,294.0113125000001
2013-03-21,293.5679166666666
2013-03-22,295.29333333333335
2013-03-23,294.1454166666667
2013-03-24,291.9245833333333
2013-03-25,290.7170833333333
2013-03-26,292.0245833333334
2013-03-27,293.889375
2013-03-28,294.46625
2013-03-29,294.15833333333325
2013-03-30,295.0270833333333
2013-03-31,295.5516666666667
2013-04-01,294.97015972083335
2013-04-02,295.18316666666675
2013-04-03,293.20416666666665
2013-04-04,295.2291666666666
2013-04-05,295.88562499999995
2013-04-06,296.7242916666666
2013-04-07,296.3204166666667
2013-04-08,296.02125000000007
2013-04-09,295.9970833333333
