datetime,Seattle
2012-10-01,281.7672622818182
2012-10-02,285.15688845000005
2012-10-03,287.67395833333336
2012-10-04,284.39166666666665
2012-10-05,284.75624999999997
2012-10-06,285.6745833333333
2012-10-07,286.1833333333334
2012-10-08,287.14416666666665
2012-10-09,286.70770833333336
2012-10-10,285.96124999999995
2012-10-11,287.5562500000001
2012-10-12,283.6525
2012-10-13,285.1716666666667
2012-10-14,286.05
2012-10-15,287.96999999999997
2012-10-16,286.85749999999996
2012-10-17,286.45916666666665
2012-10-18,282.66083333333336
2012-10-19,284.12416666666667
2012-10-20,286.0633333333332
2012-10-21,280.95395833333333
2012-10-22,279.9504166666666
2012-10-23,278.25708333333336
2012-10-24,279.72458333333327
2012-10-25,280.59020833333335
2012-10-26,280.59
2012-10-27,280.8279166666666
2012-10-28,282.78333333333325
2012-10-29,285.3533333333333
2012-10-30,285.9800000000001
2012-10-31,285.8474999999999
2012-11-01,286.4241666666666
2012-11-02,285.1425
2012-11-03,285.2716666666667
2012-11-04,285.16437499999995
2012-11-05,286.2704166666667
2012-11-06,286.3695833333333
2012-11-07,282.55791666666664
2012-11-08,282.81541666666675
2012-11-09,278.7054166666667
2012-11-10,277.5375
2012-11-11,275.5058333333334
2012-11-12,276.4258333333334
2012-11-13,280.02833333333336
2012-11-14,282.35374999999993
2012-11-15,281.9933333333333
2012-11-16,279.64250000000004
2012-11-17,279.23375
2012-11-18,281.9760416666667
2012-11-19,279.8325
2012-11-20,282.45416666666665
2012-11-21,282.05458333333337
2012-11-22,280.12791666666664
2012-11-23,278.3183333333333
2012-11-24,280.3629166666667
2012-11-25,281.16833333333335
2012-11-26,278.200625
2012-11-27,277.11333333333334
2012-11-28,277.5054166666667
2012-11-29,278.62125000000003
2012-11-30,281.1941666666667
2012-12-01,282.79416666666674
2012-12-02,282.28854166666673
2012-12-03,281.2079166666666
2012-12-04,280.82750000000004
2012-12-05,282.0652083333333
2012-12-06,279.93833333333333
2012-12-07,279.1933333333333
2012-12-08,279.18791666666664
2012-12-09,277.94458333333336
2012-12-10,276.94208333333336
2012-12-11,278.8675
2012-12-12,279.19
2012-12-13,278.77458333333334
2012-12-14,278.13875
2012-12-15,277.7066666666667
2012-12-16,275.4477083333333
2012-12-17,276.4754166666666
2012-12-18,278.5891666666667
2012-12-19,275.40125000000006
2012-12-20,275.86812499999996
2012-12-21,278.02583333333337
2012-12-22,275.8391666666666
2012-12-23,277.8279166666667
2012-12-24,278.6175
2012-12-25,277.41833333333335
2012-12-26,276.585
2012-12-27,277.48333333333335
2012-12-28,278.49208333333337
2012-12-29,277.83666666666664
2012-12-30,277.1567708333333
2012-12-31,275.6439583333333
2013-01-01,274.25624999999997
2013-01-02,274.1816666666667
2013-01-03,274.1417708333334
2013-01-04,274.9075
2013-01-05,277.8597395833333
2013-01-06,278.8495833333333
2013-01-07,278.28541666666666
2013-01-08,279.78243750000007
2013-01-09,280.20166666666665
2013-01-10,277.83456458333336
2013-01-11,275.8185416666667
2013-01-12,273.8022708333333
2013-01-13,271.74881249999993
2013-01-14,271.44181249999997
2013-01-15,272.660625
2013-01-16,274.8452083333333
2013-01-17,274.02333333333337
2013-01-18,273.6133333333334
2013-01-19,273.55291666666665
2013-01-20,275.41458333333327
2013-01-21,274.42187499999994
2013-01-22,273.27520833333335
2013-01-23,273.0802083333334
2013-01-24,277.0441666666666
2013-01-25,277.91249999999997
2013-01-26,278.85220833333335
2013-01-27,277.60976388750004
2013-01-28,277.7587847208334
2013-01-29,277.8643819458333
2013-01-30,279.41984375
2013-01-31,280.72625
2013-02-01,281.29125
2013-02-02,280.0339583333334
2013-02-03,278.46875
2013-02-04,278.06
2013-02-05,280.28229166666665
2013-02-06,280.916875
2013-02-07,280.2139583333333
2013-02-08,279.86229166666664
2013-02-09,277.5393749999999
2013-02-10,278.34250000000003
2013-02-11,277.95687499999997
2013-02-12,278.69763194583334
2013-02-13,280.2264583333334
2013-02-14,280.9533333333333
2013-02-15,280.2008333333333
2013-02-16,280.44583333333327
2013-02-17,280.25562500000007
2013-02-18,278.39833333333337
2013-02-19,278.04333333333335
2013-02-20,278.44791666666663
2013-02-21,277.0809791666666
2013-02-22,277.58166666666665
2013-02-23,278.7504166666666
2013-02-24,278.1254166666667
2013-02-25,278.934875
2013-02-26,279.6845
2013-02-27,278.33512500000006
2013-02-28,279.3436208333333
2013-03-01,279.87416666666667
2013-03-02,284.0183333333334
2013-03-03,284.2295833333333
2013-03-04,278.4008333333333
2013-03-05,277.4027083333334
2013-03-06,279.6917125
2013-03-07,278.9122291666667
2013-03-08,278.7934791666667
2013-03-09,278.2849375
2013-03-10,278.0827569416666
2013-03-11,278.7681666666667
2013-03-12,280.1417430541666
2013-03-13,282.90022916666675
2013-03-14,283.2656527791667
2013-03-15,283.16627777916665
2013-03-16,283.11706250000003
2013-03-17,281.9813125
2013-03-18,278.2621111083333
2013-03-19,278.52125
2013-03-20,278.69749999999993
2013-03-21,280.73749999999995
2013-03-22,277.84083333333325
2013-03-23,275.99625
2013-03-24,276.41041666666666
2013-03-25,277.51291666666674
2013-03-26,280.93541666666664
2013-03-27,283.2960208333332
2013-03-28,282.99625
2013-03-29,282.6741666666666
2013-03-30,283.83958333333334
2013-03-31,283.95958333333334
2013-04-01,285.2760972208334
2013-04-02,284.96545833333334
2013-04-03,284.25750000000005
2013-04-04,283.9316666666667
2013-04-05,284.363125
2013-04-06,284.5405416666666
2013-04-07,282.2675
2013-04-08,279.4866666666666
2013-04-09,280.1345833333333
2013-04-10,281.6191666666667
