datetime,Albuquerque
2012-10-01,285.47620774545453
2012-10-02,289.7718205041666
2012-10-03,291.2054166666666
2012-10-04,293.09625000000005
2012-10-05,292.8291666666667
2012-10-06,292.8854166666667
2012-10-07,288.7647916666666
2012-10-08,281.98749999999995
2012-10-09,284.5816666666667
2012-10-10,288.3966666666667
2012-10-11,287.1458333333333
2012-10-12,288.0579166666667
2012-10-13,290.3479166666666
2012-10-14,283.7816666666667
2012-10-15,284.55041666666665
2012-10-16,286.44666666666666
2012-10-17,288.27916666666664
2012-10-18,289.89208333333335
2012-10-19,287.75208333333336
2012-10-20,287.95958333333334
2012-10-21,288.1027083333333
2012-10-22,289.143125
2012-10-23,288.035
2012-10-24,288.4670833333334
2012-10-25,289.6489583333334
2012-10-26,284.10874999999993
2012-10-27,278.2920833333334
2012-10-28,277.50083333333333
2012-10-29,282.1529166666667
2012-10-30,284.9633333333333
2012-10-31,286.19958333333335
2012-11-01,285.7695833333333
2012-11-02,283.51375
2012-11-03,285.2945833333334
2012-11-04,284.38854166666664
2012-11-05,283.3454166666666
2012-11-06,285.6027083333334
2012-11-07,285.45625
2012-11-08,284.40666666666664
2012-11-09,284.37708333333336
2012-11-10,283.4458333333333
2012-11-11,280.71916666666664
2012-11-12,273.7425
2012-11-13,271.5604166666667
2012-11-14,274.31
2012-11-15,277.2779166666667
2012-11-16,278.3416666666665
2012-11-17,281.72125
2012-11-18,279.99854166666665
2012-11-19,281.2545833333333
2012-11-20,279.91333333333336
2012-11-21,280.24875000000003
2012-11-22,279.4441666666667
2012-11-23,280.4158333333333
2012-11-24,278.9808333333333
2012-11-25,278.2929166666667
2012-11-26,280.2039583333333
2012-11-27,280.45874999999995
2012-11-28,276.4604166666666
2012-11-29,278.90000000000003
2012-11-30,280.1558333333333
2012-12-01,280.14000000000004
2012-12-02,280.54687499999994
2012-12-03,280.4854166666667
2012-12-04,281.79437499999995
2012-12-05,279.4902083333333
2012-12-06,279.59583333333336
2012-12-07,281.25083333333333
2012-12-08,280.6145833333333
2012-12-09,279.44187500000004
2012-12-10,277.40583333333336
2012-12-11,267.34708333333333
2012-12-12,271.4133333333334
2012-12-13,272.8695833333333
2012-12-14,274.9054166666666
2012-12-15,276.0720833333333
2012-12-16,273.1716666666666
2012-12-17,272.85833333333335
2012-12-18,271.10125000000005
2012-12-19,273.75541666666663
2012-12-20,274.71791666666667
2012-12-21,267.11333333333334
2012-12-22,268.865
2012-12-23,272.011875
2012-12-24,274.66875
2012-12-25,275.45666666666665
2012-12-26,273.44583333333327
2012-12-27,270.8683333333333
2012-12-28,272.0231666666667
2012-12-29,269.25791666666674
2012-12-30,267.42531249999996
2012-12-31,270.7475
2013-01-01,272.97499999999997
2013-01-02,268.87791666666664
2013-01-03,266.9754166666667
2013-01-04,266.75291666666664
2013-01-05,264.8371354166667
2013-01-06,268.70249999999993
2013-01-07,269.6854166666667
2013-01-08,273.29181249999993
2013-01-09,273.40729166666665
2013-01-10,271.4589208333333
2013-01-11,273.44825000000003
2013-01-12,274.46616666666665
2013-01-13,266.873125
2013-01-14,264.7732916666667
2013-01-15,264.0547916666667
2013-01-16,261.4570833333334
2013-01-17,265.3312083333333
2013-01-18,270.4345833333334
2013-01-19,273.42083333333335
2013-01-20,274.21562500000005
2013-01-21,274.2497916666666
2013-01-22,273.94895833333334
2013-01-23,275.75604166666665
2013-01-24,277.9114583333333
2013-01-25,278.5577083333333
2013-01-26,281.33877083333334
2013-01-27,280.9176631958333
2013-01-28,280.93013888749994
2013-01-29,274.2882222208333
2013-01-30,271.3856875000001
2013-01-31,271.4032916666666
2013-02-01,274.14708333333334
2013-02-02,275.23275
2013-02-03,278.516875
2013-02-04,278.69583333333327
2013-02-05,279.0360416666667
2013-02-06,278.5998958333334
2013-02-07,279.3483125
2013-02-08,279.59562500000004
2013-02-09,279.1958333333334
2013-02-10,279.52666666666664
2013-02-11,272.07520833333325
2013-02-12,272.8436041666667
2013-02-13,272.1469166666665
2013-02-14,271.2050625
2013-02-15,274.4216666666667
2013-02-16,274.330625
2013-02-17,275.6033333333334
2013-02-18,277.88916666666665
2013-02-19,277.94395833333334
2013-02-20,275.51732638749996
2013-02-21,278.27788888750007
2013-02-22,272.5783333333334
2013-02-23,272.34916666666663
2013-02-24,271.5629166666667
2013-02-25,273.2864791666666
2013-02-26,271.078125
2013-02-27,273.31220833333333
2013-02-28,270.2776416666666
2013-03-01,272.15458333333333
2013-03-02,276.32770833333336
2013-03-03,279.12812499999995
2013-03-04,281.1145833333333
2013-03-05,283.36583333333334
2013-03-06,280.1602125
2013-03-07,283.6307708333333
2013-03-08,284.452
2013-03-09,283.71614583333337
2013-03-10,276.848090275
2013-03-11,275.0583541666667
2013-03-12,278.46304860833334
2013-03-13,281.53115972083333
2013-03-14,283.08538888749996
2013-03-15,286.02421527916664
2013-03-16,287.41995833333334
2013-03-17,287.9929375000001
2013-03-18,284.7146388875
2013-03-19,284.0245
2013-03-20,282.688875
2013-03-21,281.30041666666665
2013-03-22,286.6108333333333
2013-03-23,283.79125
2013-03-24,280.22875
2013-03-25,274.0316666666667
2013-03-26,276.075
2013-03-27,280.3066666666667
2013-03-28,285.76625
2013-03-29,288.01833333333326
2013-03-30,288.23625
2013-03-31,287.28625
2013-04-01,288.6387013874999
2013-04-02,287.6115
2013-04-03,287.1354166666667
2013-04-04,282.8454166666666
2013-04-05,285.24499999999995
2013-04-06,288.93241666666665
2013-04-07,289.58625000000006
2013-04-08,290.1433333333334
2013-04-09,290.14875
2013-04-10,283.74708333333325
