date,Temp
2017-12-01,278.5674841156923
2017-12-02,278.4901794606613
2017-12-03,278.3369938679735
2017-12-04,278.2633481743644
2017-12-05,278.3278075263581
2017-12-06,278.2931604942854
2017-12-07,278.26205420092657
2017-12-08,278.10650971118986
2017-12-09,278.0045913343309
2017-12-10,277.8215303794957
2017-12-11,277.71387278963647
2017-12-12,277.74142304839955
2017-12-13,277.6682943697652
2017-12-14,277.59851298342414
2017-12-15,277.40550149290004
2017-12-16,277.2687157121203
2017-12-17,277.05473628075464
2017-12-18,276.92138522988944
2017-12-19,276.9296406083228
2017-12-20,276.8446598471591
2017-12-21,276.7713602801924
2017-12-22,276.58388232424807
2017-12-23,276.4622101631056
2017-12-24,276.2732515743856
2017-12-25,276.174947304065
2017-12-26,276.2281832216057
2017-12-27,276.19781594398097
2017-12-28,276.1882602456505
2017-12-29,276.07296355092257
2017-12-30,276.03104204365246
