date,Temp
2017-12-01,288.51018450179106
2017-12-02,288.3419971386158
2017-12-03,288.12065004443
2017-12-04,287.96293034887503
2017-12-05,287.7948347532158
2017-12-06,287.77078824802936
2017-12-07,287.7113671013525
2017-12-08,287.5054861640726
2017-12-09,287.3158169286429
2017-12-10,287.0802616878537
2017-12-11,286.9158994777894
2017-12-12,286.748871636276
2017-12-13,286.73360487688944
2017-12-14,286.6905420669509
2017-12-15,286.50834038830703
2017-12-16,286.3493028711732
2017-12-17,286.1508681392994
2017-12-18,286.0295734961129
2017-12-19,285.9109586004911
2017-12-20,285.9488070396956
2017-12-21,285.9628954038299
2017-12-22,285.8412089827516
2017-12-23,285.745389560755
2017-12-24,285.61223969032056
2017-12-25,285.55769818872767
2017-12-26,285.5067538021391
2017-12-27,285.61269413051133
2017-12-28,285.69485929851027
2017-12-29,285.64085947126887
2017-12-30,285.61202176438303
