date,Temp
2017-12-01,289.42211911629914
2017-12-02,289.2519249321317
2017-12-03,288.9916108248926
2017-12-04,288.80530510880163
2017-12-05,288.5264220371606
2017-12-06,288.31993428159024
2017-12-07,288.29956520556044
2017-12-08,288.07803301791705
2017-12-09,287.8666815580973
2017-12-10,287.57238654935634
2017-12-11,287.36070496098296
2017-12-12,287.0662594086879
2017-12-13,286.8549814233089
2017-12-14,286.8412822450439
2017-12-15,286.63828373782053
2017-12-16,286.4574444291442
2017-12-17,286.2054695049283
2017-12-18,286.0474721356635
2017-12-19,285.8173775512439
2017-12-20,285.68019295347574
2017-12-21,285.7492109780718
2017-12-22,285.63627818202406
2017-12-23,285.55146230588593
2017-12-24,285.40000578772344
2017-12-25,285.345531498359
2017-12-26,285.22049069889425
2017-12-27,285.18847492803343
2017-12-28,285.3614582275116
2017-12-29,285.3500999964646
2017-12-30,285.3634411943854
